호선명,역이름,기온(°C),풍향(deg),풍속(m/s),강수량(mm),습도(%),날짜,시간
3,대청,0.7,106.7,0.8,0.0,99.0,2024-01-01,06:00:00
3,대청,0.5,92.1,0.9,0.0,98.0,2024-01-01,07:00:00
3,대청,0.0,85.1,0.7,0.0,98.0,2024-01-01,08:00:00
3,대청,0.5,0.0,0.2,0.0,98.0,2024-01-01,09:00:00
3,대청,2.3,0.0,0.3,0.0,97.0,2024-01-01,10:00:00
3,대청,4.6,82.2,0.7,0.0,83.0,2024-01-01,11:00:00
3,대청,6.7,160.2,1.0,0.0,69.0,2024-01-01,12:00:00
3,대청,6.3,180.0,2.3,0.0,63.0,2024-01-01,13:00:00
3,대청,6.8,165.8,1.2,0.0,62.0,2024-01-01,14:00:00
3,대청,6.3,165.2,1.0,0.0,64.0,2024-01-01,15:00:00
3,대청,6.3,185.5,0.7,0.0,66.0,2024-01-01,16:00:00
3,대청,6.1,196.5,1.1,0.0,67.0,2024-01-01,17:00:00
3,대청,5.8,246.6,0.9,0.0,65.0,2024-01-01,18:00:00
3,대청,5.0,263.8,0.9,0.0,69.0,2024-01-01,19:00:00
3,대청,5.0,252.9,0.8,0.0,68.0,2024-01-01,20:00:00
3,대청,4.9,256.7,0.7,0.0,69.0,2024-01-01,21:00:00
3,대청,4.9,248.9,1.0,0.0,71.0,2024-01-01,22:00:00
3,대청,4.8,280.0,1.2,0.0,72.0,2024-01-01,23:00:00
3,대청,4.3,260.5,0.7,0.0,76.0,2024-01-02,00:00:00
3,대청,4.2,0.0,0.2,0.0,79.0,2024-01-02,01:00:00
3,대청,4.3,248.0,0.9,0.0,80.0,2024-01-02,02:00:00
3,대청,4.1,321.6,0.9,0.0,71.0,2024-01-02,03:00:00
3,대청,3.6,0.0,0.2,0.0,74.0,2024-01-02,04:00:00
3,대청,2.3,0.0,0.0,0.0,80.0,2024-01-02,05:00:00
3,대청,2.4,263.8,0.6,0.0,85.0,2024-01-02,06:00:00
3,대청,3.3,248.4,1.2,0.0,80.0,2024-01-02,07:00:00
3,대청,3.7,291.0,1.0,0.0,68.0,2024-01-02,08:00:00
3,대청,3.5,311.7,0.5,0.0,65.0,2024-01-02,09:00:00
3,대청,4.1,8.8,0.8,0.0,63.0,2024-01-02,10:00:00
3,대청,4.2,336.1,1.7,0.0,63.0,2024-01-02,11:00:00
3,대청,4.4,314.7,1.1,0.0,62.0,2024-01-02,12:00:00
3,대청,4.6,264.5,1.9,0.0,60.0,2024-01-02,13:00:00
3,대청,4.7,339.6,1.4,0.0,58.0,2024-01-02,14:00:00
3,대청,4.6,295.8,1.1,0.0,56.0,2024-01-02,15:00:00
3,대청,4.7,273.5,1.4,0.0,53.0,2024-01-02,16:00:00
3,대청,4.3,0.0,0.2,0.0,52.0,2024-01-02,17:00:00
3,대청,3.9,331.0,0.6,0.0,54.0,2024-01-02,18:00:00
3,대청,3.3,0.0,0.3,0.0,58.0,2024-01-02,19:00:00
3,대청,3.2,0.0,0.4,0.0,61.0,2024-01-02,20:00:00
3,대청,3.5,288.2,0.9,0.0,62.0,2024-01-02,21:00:00
3,대청,3.4,288.4,1.1,0.0,62.0,2024-01-02,22:00:00
3,대청,2.7,0.0,0.4,0.0,66.0,2024-01-02,23:00:00
3,대청,2.5,0.0,0.2,0.0,69.0,2024-01-03,00:00:00
3,대청,2.4,0.0,0.2,0.0,69.0,2024-01-03,01:00:00
3,대청,2.3,0.0,0.2,0.0,69.0,2024-01-03,02:00:00
3,대청,2.8,171.9,0.9,0.0,68.0,2024-01-03,03:00:00
3,대청,2.3,90.5,0.7,0.0,71.0,2024-01-03,04:00:00
3,대청,2.3,0.0,0.3,0.0,71.0,2024-01-03,05:00:00
3,대청,2.2,0.0,0.2,0.0,73.0,2024-01-03,06:00:00
3,대청,2.5,0.0,0.3,0.0,74.0,2024-01-03,07:00:00
3,대청,2.8,0.0,0.2,0.0,73.0,2024-01-03,08:00:00
3,대청,2.6,269.1,0.7,0.0,78.0,2024-01-03,09:00:00
3,대청,1.9,264.3,0.6,0.5,91.0,2024-01-03,10:00:00
3,대청,2.8,152.6,0.6,0.0,91.0,2024-01-03,11:00:00
3,대청,3.2,0.0,0.3,0.0,84.0,2024-01-03,12:00:00
3,대청,4.0,248.3,0.7,0.0,79.0,2024-01-03,13:00:00
3,대청,4.4,229.8,0.6,0.0,81.0,2024-01-03,14:00:00
3,대청,0.0,0.0,0.0,0.0,0.0,2024-01-03,15:00:00
3,대청,3.2,20.5,0.5,0.0,86.0,2024-01-03,16:00:00
3,대청,3.1,319.9,1.2,0.0,75.0,2024-01-03,17:00:00
3,대청,2.9,316.4,1.3,0.0,73.0,2024-01-03,18:00:00
3,대청,2.8,290.8,1.4,0.0,74.0,2024-01-03,19:00:00
3,대청,2.6,324.9,1.9,0.0,68.0,2024-01-03,20:00:00
3,대청,1.7,285.3,0.6,0.0,63.0,2024-01-03,21:00:00
3,대청,1.3,292.3,1.7,0.0,61.0,2024-01-03,22:00:00
3,대청,0.9,299.7,1.9,0.0,62.0,2024-01-03,23:00:00
3,대청,0.5,324.9,1.3,0.0,62.0,2024-01-04,00:00:00
3,대청,0.2,291.4,1.0,0.0,64.0,2024-01-04,01:00:00
3,대청,0.0,310.0,1.1,0.0,64.0,2024-01-04,02:00:00
3,대청,-1.3,275.9,0.6,0.0,73.0,2024-01-04,03:00:00
3,대청,-2.1,0.0,0.1,0.0,79.0,2024-01-04,04:00:00
3,대청,-2.3,0.0,0.3,0.0,82.0,2024-01-04,05:00:00
3,대청,-2.4,0.0,0.3,0.0,82.0,2024-01-04,06:00:00
3,대청,-2.3,101.5,0.9,0.0,80.0,2024-01-04,07:00:00
3,대청,-1.8,73.3,0.7,0.0,81.0,2024-01-04,08:00:00
3,대청,-1.1,126.9,1.0,0.0,76.0,2024-01-04,09:00:00
